funcao_objetivo;problema;modelo;ordem_sol
56;ID000_M003_J004;minla_fav;1
51;ID000_M003_J004;minla_fav;2
29;ID000_M003_J004;minla_fav;3
31;ID000_M003_J004;minla_fav;4
69;ID000_M003_J004;manne;1
51;ID000_M003_J004;manne;2
29.000000000000004;ID000_M003_J004;manne;3
33;ID000_M003_J004;manne;4
77;ID000_M003_J005;minla_fav;1
69;ID000_M003_J005;minla_fav;2
33;ID000_M003_J005;minla_fav;3
69;ID000_M003_J005;manne;1
38;ID000_M003_J005;manne;2
33;ID000_M003_J005;manne;3
37;ID000_M003_J005;manne;4
33;ID000_M003_J005;manne;1
1242;ID000_M015_J015;minla_fav;1
1257.9999999999995;ID000_M015_J015;minla_fav;2
1231;ID000_M015_J015;minla_fav;3
1584;ID000_M015_J015;minla_fav;4
1225;ID000_M015_J015;minla_fav;5
1212;ID000_M015_J015;minla_fav;6
1282;ID000_M015_J015;minla_fav;7
1221;ID000_M015_J015;minla_fav;8
1232;ID000_M015_J015;minla_fav;9
1567;ID000_M015_J015;minla_fav;10
1266;ID000_M015_J015;minla_fav;11
1386;ID000_M015_J015;minla_fav;12
1210;ID000_M015_J015;minla_fav;13
1234;ID000_M015_J015;minla_fav;14
1259;ID000_M015_J015;minla_fav;15
1226;ID000_M015_J015;minla_fav;16
1244;ID000_M015_J015;minla_fav;17
1281;ID000_M015_J015;minla_fav;18
1299;ID000_M015_J015;minla_fav;19
9543;ID000_M015_J015;minla_fav;20
1294.9999999910001;ID000_M015_J015;minla_fav;21
1302;ID000_M015_J015;minla_fav;22
1254;ID000_M015_J015;minla_fav;23
1269;ID000_M015_J015;minla_fav;24
1251;ID000_M015_J015;minla_fav;25
9538;ID000_M015_J015;minla_fav;26
1248;ID000_M015_J015;minla_fav;27
1387.9999999959982;ID000_M015_J015;minla_fav;28
1374;ID000_M015_J015;minla_fav;29
1549;ID000_M015_J015;minla_fav;30
1632;ID000_M015_J015;minla_fav;31
1301;ID000_M015_J015;minla_fav;32
1249;ID000_M015_J015;minla_fav;33
1563;ID000_M015_J015;minla_fav;34
1366;ID000_M015_J015;minla_fav;35
1220;ID000_M015_J015;minla_fav;36
1297;ID000_M015_J015;minla_fav;37
1286;ID000_M015_J015;minla_fav;38
1283;ID000_M015_J015;minla_fav;39
1452;ID000_M015_J015;minla_fav;40
1271;ID000_M015_J015;minla_fav;41
1261;ID000_M015_J015;minla_fav;42
1612;ID000_M015_J015;minla_fav;43
1279.9999999999995;ID000_M015_J015;minla_fav;44
1265;ID000_M015_J015;minla_fav;45
1435.9999999959982;ID000_M015_J015;minla_fav;46
1242;ID000_M015_J015;minla_fav;47
9406;ID000_M015_J015;minla_fav;48
1227;ID000_M015_J015;minla_fav;49
1292.999999997;ID000_M015_J015;minla_fav;50
1272;ID000_M015_J015;minla_fav;51
1223;ID000_M015_J015;minla_fav;52
1239;ID000_M015_J015;minla_fav;53
1214;ID000_M015_J015;minla_fav;54
1224;ID000_M015_J015;minla_fav;55
1274;ID000_M015_J015;minla_fav;56
1243;ID000_M015_J015;minla_fav;57
1289.9999999940001;ID000_M015_J015;minla_fav;58
1235;ID000_M015_J015;minla_fav;59
1275.9999999999995;ID000_M015_J015;minla_fav;60
1286.9999999950001;ID000_M015_J015;minla_fav;61
1263;ID000_M015_J015;minla_fav;62
1367;ID000_M015_J015;minla_fav;63
1526;ID000_M015_J015;minla_fav;64
1217;ID000_M015_J015;minla_fav;65
1211;ID000_M015_J015;minla_fav;66
1290.9999999940001;ID000_M015_J015;minla_fav;67
1236;ID000_M015_J015;minla_fav;68
1210;ID000_M015_J015;minla_fav;1
1297;ID000_M015_J015;manne;1
1330.999999998;ID000_M015_J015;manne;2
1287;ID000_M015_J015;manne;3
1643.999999835803;ID000_M015_J015;manne;4
1218;ID000_M015_J015;manne;5
1275;ID000_M015_J015;manne;6
1259;ID000_M015_J015;manne;7
1415.9999999999995;ID000_M015_J015;manne;8
